Date,Traffic_Volume
01-01-2024,27745
02-01-2024,26878
03-01-2024,28143
04-01-2024,29542
05-01-2024,26992
06-01-2024,17078
07-01-2024,19884
08-01-2024,28752
09-01-2024,26982
10-01-2024,28585
11-01-2024,27161
12-01-2024,27242
13-01-2024,18388
14-01-2024,15239
15-01-2024,25605
16-01-2024,27433
17-01-2024,26840
18-01-2024,28913
19-01-2024,27162
20-01-2024,16487
21-01-2024,20886
22-01-2024,28429
23-01-2024,28949
24-01-2024,26791
25-01-2024,28190
26-01-2024,29252
27-01-2024,17437
28-01-2024,19804
29-01-2024,28416
30-01-2024,28956
31-01-2024,28566
01-02-2024,32321
02-02-2024,29596
03-02-2024,18103
04-02-2024,20995
05-02-2024,28002
06-02-2024,30217
07-02-2024,27034
08-02-2024,28050
09-02-2024,30405
10-02-2024,21284
11-02-2024,20500
12-02-2024,30134
13-02-2024,29920
14-02-2024,28217
15-02-2024,29417
16-02-2024,29867
17-02-2024,22203
18-02-2024,21192
19-02-2024,28090
20-02-2024,31277
21-02-2024,30269
22-02-2024,29886
23-02-2024,31872
24-02-2024,22553
25-02-2024,22454
26-02-2024,29848
27-02-2024,30692
28-02-2024,31699
29-02-2024,32712
01-03-2024,30575
02-03-2024,21058
03-03-2024,19719
04-03-2024,29626
05-03-2024,32678
06-03-2024,33532
07-03-2024,31427
08-03-2024,33075
09-03-2024,22147
10-03-2024,20670
11-03-2024,32211
12-03-2024,34006
13-03-2024,31674
14-03-2024,34102
15-03-2024,27851
16-03-2024,23038
17-03-2024,21959
18-03-2024,31401
19-03-2024,32008
20-03-2024,28907
21-03-2024,31577
22-03-2024,32458
23-03-2024,24153
24-03-2024,21172
25-03-2024,30748
26-03-2024,31218
27-03-2024,33352
28-03-2024,32479
29-03-2024,31197
30-03-2024,22766
31-03-2024,22144
01-04-2024,33452
02-04-2024,30946
03-04-2024,31506
04-04-2024,31406
05-04-2024,29794
06-04-2024,22427
07-04-2024,22367
08-04-2024,31973
09-04-2024,31603
10-04-2024,29820
11-04-2024,31298
12-04-2024,31400
13-04-2024,20694
14-04-2024,21638
15-04-2024,32466
16-04-2024,34668
17-04-2024,32079
18-04-2024,32179
19-04-2024,31656
20-04-2024,18863
21-04-2024,21674
22-04-2024,31774
23-04-2024,35348
24-04-2024,31332
25-04-2024,32040
26-04-2024,31500
27-04-2024,19763
28-04-2024,23193
29-04-2024,32568
30-04-2024,32586
01-05-2024,29994
02-05-2024,33419
03-05-2024,29168
04-05-2024,22106
05-05-2024,24465
06-05-2024,29645
07-05-2024,30233
08-05-2024,31181
09-05-2024,30225
10-05-2024,28602
11-05-2024,20977
12-05-2024,19225
13-05-2024,31473
14-05-2024,29326
15-05-2024,32972
16-05-2024,29413
17-05-2024,30044
18-05-2024,21686
19-05-2024,18557
20-05-2024,30681
21-05-2024,32236
22-05-2024,27799
23-05-2024,30420
24-05-2024,30466
25-05-2024,21180
26-05-2024,18083
27-05-2024,27888
28-05-2024,30580
29-05-2024,30171
30-05-2024,30029
31-05-2024,30099
01-06-2024,18486
02-06-2024,19779
03-06-2024,29795
04-06-2024,28208
05-06-2024,32001
06-06-2024,29835
07-06-2024,27259
08-06-2024,19952
09-06-2024,17426
10-06-2024,29989
11-06-2024,30465
12-06-2024,27416
13-06-2024,30010
14-06-2024,29102
15-06-2024,19634
16-06-2024,21163
17-06-2024,27867
18-06-2024,27020
19-06-2024,26733
20-06-2024,26759
21-06-2024,27783
22-06-2024,18325
23-06-2024,18144
24-06-2024,28884
25-06-2024,27577
26-06-2024,29652
27-06-2024,26989
28-06-2024,31381
29-06-2024,18153
30-06-2024,15843
01-07-2024,25436
02-07-2024,27680
03-07-2024,26535
04-07-2024,27855
05-07-2024,27408
06-07-2024,16503
07-07-2024,15257
08-07-2024,24169
09-07-2024,25686
10-07-2024,27555
11-07-2024,26507
12-07-2024,24232
13-07-2024,16276
14-07-2024,16510
15-07-2024,24522
16-07-2024,25995
17-07-2024,25768
18-07-2024,23884
19-07-2024,26053
20-07-2024,16275
21-07-2024,16977
22-07-2024,26852
23-07-2024,23124
24-07-2024,23704
25-07-2024,25804
26-07-2024,25723
27-07-2024,15647
28-07-2024,20576
29-07-2024,25576
30-07-2024,26347
31-07-2024,25999
01-08-2024,25470
02-08-2024,23946
03-08-2024,15484
04-08-2024,13114
