Start Time,End Time,Vehicles Entering (vehs),Vehicles Leaving (vehs)
00:00,01:00,68,41
01:00,02:00,48,34
02:00,03:00,24,26
03:00,04:00,7,17
04:00,05:00,30,15
05:00,06:00,78,44
06:00,07:00,148,82
07:00,08:00,302,266
08:00,09:00,440,386
09:00,10:00,390,350
10:00,11:00,353,288
11:00,12:00,315,368
12:00,13:00,369,397
13:00,14:00,403,433
14:00,15:00,432,504
15:00,16:00,501,543
16:00,17:00,531,488
17:00,18:00,503,455
18:00,19:00,409,331
19:00,20:00,317,249
20:00,21:00,181,157
21:00,22:00,150,86
22:00,23:00,112,67
23:00,00:00,61,64
