date,vehicle_volume
2026-01-01,4174
2026-01-02,4507
2026-01-03,1860
2026-01-04,2294
2026-01-05,2130
2026-01-06,2095
2026-01-07,4772
2026-01-08,4092
2026-01-09,2638
2026-01-10,3169
2026-01-11,1466
2026-01-12,2238
2026-01-13,1330
2026-01-14,2482
2026-01-15,3135
2026-01-16,4444
2026-01-17,4171
2026-01-18,3919
2026-01-19,4735
2026-01-20,1130
2026-01-21,2685
2026-01-22,4380
2026-01-23,1769
2026-01-24,3391
2026-01-25,2515
2026-01-26,4485
2026-01-27,3853
2026-01-28,3433
2026-01-29,2215
2026-01-30,1955
2026-01-31,3324
2026-02-01,2184
2026-02-02,1459
2026-02-03,4385
2026-02-04,1021
2026-02-05,3300
2026-02-06,1747
2026-02-07,3904
2026-02-08,4632
2026-02-09,1474
2026-02-10,2082
2026-02-11,3558
2026-02-12,4753
2026-02-13,3047
2026-02-14,4547
2026-02-15,3747
2026-02-16,1975
2026-02-17,2806
2026-02-18,1189
2026-02-19,4005
2026-02-20,3734
2026-02-21,4005
2026-02-22,1562
2026-02-23,2899
2026-02-24,4638
2026-02-25,2267
2026-02-26,3879
2026-02-27,2528
2026-02-28,4202
2026-03-01,4556
2026-03-02,4890
2026-03-03,1646
2026-03-04,3068
2026-03-05,3888
2026-03-06,3214
2026-03-07,2297
2026-03-08,3435
2026-03-09,1600
2026-03-10,3363
2026-03-11,3061
2026-03-12,1241
2026-03-13,3041
2026-03-14,3824
2026-03-15,4417
2026-03-16,3612
2026-03-17,3945
2026-03-18,2363
2026-03-19,3139
2026-03-20,2390
2026-03-21,4003
2026-03-22,2478
2026-03-23,4499
2026-03-24,3556
2026-03-25,1775
2026-03-26,1034
2026-03-27,3253
2026-03-28,4152
2026-03-29,2955
2026-03-30,2585
2026-03-31,4943
2026-04-01,4459
2026-04-02,4073
2026-04-03,2021
2026-04-04,4461
2026-04-05,3613
2026-04-06,2129
2026-04-07,4843
2026-04-08,4893
2026-04-09,2500
2026-04-10,1702
2026-04-11,3449
2026-04-12,3777
2026-04-13,2579
2026-04-14,1161
2026-04-15,1201
2026-04-16,2981
2026-04-17,1995
2026-04-18,3317
2026-04-19,4934
2026-04-20,1815
